Type,Prefecture,Municipality,DistrictName,TradePrice,Area,FloorPlan,BuildingYear,Structure,CityPlanning,Period
中古マンション等,東京都,千代田区,三番町,33000000,30,１Ｋ,1985年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,二番町,18000000,20,１Ｒ,1972年,ＳＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,千代田区,二番町,18000000,20,１Ｒ,1972年,ＳＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,千代田区,二番町,50000000,35,１Ｒ,1997年,ＳＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,千代田区,二番町,52000000,35,１Ｒ,1997年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,二番町,18000000,15,１Ｒ,1972年,ＳＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,千代田区,二番町,16000000,15,１Ｒ,1972年,ＳＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,千代田区,二番町,15000000,15,１Ｒ,1972年,ＳＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,千代田区,岩本町,25000000,20,１Ｋ,2003年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,岩本町,30000000,20,１Ｋ,2006年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,岩本町,32000000,20,１Ｋ,2006年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,岩本町,32000000,20,１Ｋ,2006年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,岩本町,23000000,20,１Ｋ,2005年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,九段北,33000000,25,１Ｋ,2012年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,岩本町,18000000,35,１Ｒ,1978年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,平河町,21000000,25,１Ｋ,1984年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,千代田区,富士見,23000000,30,１Ｋ,1985年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,千代田区,神田神保町,46000000,25,１Ｋ,2023年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田神保町,18000000,20,１Ｋ,1982年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田司町,27000000,25,１Ｋ,2005年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田司町,37000000,30,１Ｋ,2005年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,麹町,36000000,25,１Ｋ,2012年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,千代田区,三番町,37000000,35,１Ｋ,1970年,ＳＲＣ,第１種住居地域,2024年第1四半期
中古マンション等,東京都,千代田区,三番町,20000000,15,１Ｋ,1986年,ＲＣ,第２種住居地域,2024年第1四半期
